project_id,project_source,project_namespace,project_name,display_name,event_source,repository_count,first_commit_date,last_commit_date,star_count,fork_count,developer_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months
nrUvwEvqgKNf1rtrqH51-LxtwsMR79X2ujTiHwL1dU0=,OSS_DIRECTORY,oso,circuitscan,Circuitscan,GITHUB,9,2024-03-30 08:50:26.000000 UTC,2024-10-21 05:43:26.000000 UTC,4,1,1,2,2,1,0.87431694,1,321,0,0,11,11
mZ-VBFxcmYnmAmYQFvx3BduCbdHEeuuZzPPNxz5GgHw=,OSS_DIRECTORY,oso,rolod0x,rolod0x,GITHUB,1,2022-04-10 21:30:21.000000 UTC,2024-10-21 19:06:50.000000 UTC,42,3,1,3,2,0,0.10382514,1,210,119,96,5,5
GwNEsk-njRVO0JZtMykYtksIpjvgaN0IcYWvM2tCg7U=,OSS_DIRECTORY,oso,bankless-academy,Bankless Academy,GITHUB,9,2021-11-12 19:45:50.000000 UTC,2024-10-24 09:17:53.000000 UTC,22,12,1,6,2,0,0.48087432,1,280,19,11,0,0
IHC6ope6dOhV54cc_xyOrBWoDNKpwHgH7q9-sTn1wWw=,OSS_DIRECTORY,oso,protspec,Bulwark,GITHUB,2,2023-11-28 05:07:08.000000 UTC,2024-09-29 06:18:51.000000 UTC,2,0,1,2,2,1,0,1,24,3,2,4,19
QzrIk4yLa855JnXH3i2W9v7l-XYAKFqwXQJTwm-PQAY=,OSS_DIRECTORY,oso,c-atts,"C–ATTS, Composite Attestations",GITHUB,12,2024-03-24 08:10:08.000000 UTC,2024-10-22 07:50:16.000000 UTC,5,1,1,2,2,1,0.48087432,1,365,3,2,2,0
vRKYUjaHHSwjeqMygpe48uc4GoisMECLworG9HhC7aY=,OSS_DIRECTORY,oso,militereum,Militereum,GITHUB,1,2022-11-15 20:19:05.000000 UTC,2024-10-11 11:53:40.000000 UTC,12,5,1,5,3,1,0,1,105,2,3,1,0
DjpM-8SbQHY0eR1ukwVJlH3qSXmNDX2KAbuKSJGDarc=,OSS_DIRECTORY,oso,peeramid-labs,Multipass,GITHUB,9,2023-11-07 11:00:25.000000 UTC,2024-10-16 05:03:07.000000 UTC,13,3,1,4,4,2,0.13114754,1,231,49,36,39,18
YiVBgk8qj5rlmSzq46c6dSloDMgSUFXZuMPev32Zc94=,OSS_DIRECTORY,oso,impersonator-eth,Impersonator,GITHUB,6,2021-08-23 11:14:16.000000 UTC,2024-10-23 12:05:26.000000 UTC,331,62,1,19,5,4,0,1,32,5,4,2,2
RFWldGMtbevA4179f7cYZcCZMKSOaCXKOSmHqWjWqbE=,OSS_DIRECTORY,oso,openlittermap,OpenLitterMap,GITHUB,3,2020-10-24 10:17:46.000000 UTC,2024-10-20 12:18:33.000000 UTC,124,35,1,41,5,3,0,1,104,15,10,2,0
mB7-omMIitevorWHg4QXe2TJRmGEUrBNnYHHWFec8Pc=,OSS_DIRECTORY,oso,eiptools,EIP.Tools,GITHUB,1,2024-06-16 14:39:52.000000 UTC,2024-10-24 12:25:59.000000 UTC,14,4,1,5,5,5,0,1,78,5,5,1,1
le15WIjDOt3HxIHxasrBZmLS7lgsxZ1Zz5Xsm0Bt0_0=,OSS_DIRECTORY,oso,swiss-knife-xyz,Swiss-Knife.xyz,GITHUB,3,2024-01-18 15:55:21.000000 UTC,2024-10-23 12:06:35.000000 UTC,107,24,1,11,8,6,0.14754098,1,63,6,4,8,11
bQPyXMKQ9JGokwZ8wEpyt94Vlb7TuejQkpVJK7RcYy0=,OSS_DIRECTORY,oso,mystic-garden,Mystic Garden,GITHUB,1,2024-04-30 01:07:23.000000 UTC,2024-10-24 22:48:44.000000 UTC,1,0,1,1,1,1,0.19125683,1,171,65,66,0,0
gxFQ-R2HhThIoNUP7P6Z8b-vdPCTIFsovfFyt0Idqfs=,OSS_DIRECTORY,oso,elefria-labs,Elefria Labs,GITHUB,6,2022-03-05 07:52:26.000000 UTC,2024-10-22 10:03:56.000000 UTC,78,23,1,6,1,0,0.02185792,1,160,3,3,0,0
hlK3dluJKJjDDYDOGDrvLbZTAC2q6RMIBTVnP3-o1LY=,OSS_DIRECTORY,oso,jacobhomanicsorganization,Engagement.Vision,GITHUB,1,2024-09-29 04:06:41.000000 UTC,2024-10-21 23:11:20.000000 UTC,2,1,1,1,1,1,0.07103825,1,152,0,0,0,0
zewvq2iWb045Owl9jQHmyQJu1woKyB_j7K7Dpu7CIUs=,OSS_DIRECTORY,oso,postino-labs,Postino,GITHUB,1,2024-08-06 15:58:28.000000 UTC,2024-09-11 21:28:17.000000 UTC,2,0,1,1,1,1,0,1,20,0,0,0,0
